Severity	Code	Description	Project	File	Line	Suppression State	Details
Error	LNK2001	unresolved external symbol "class SK_LazyGlobal<class std::vector<struct denuvo_file_s,class std::allocator<struct denuvo_file_s> > > denuvo_files" (?denuvo_files@@3V?$SK_LazyGlobal@V?$vector@Udenuvo_file_s@@V?$allocator@Udenuvo_file_s@@@std@@@std@@@@A)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\cfg_steam.obj	1		
Error	LNK2001	unresolved external symbol "class SK_LazyGlobal<struct cpu_perf_t> SK_WMI_CPUStats" (?SK_WMI_CPUStats@@3V?$SK_LazyGlobal@Ucpu_perf_t@@@@A)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\core.obj	1		
Error	LNK2001	unresolved external symbol "class SK_LazyGlobal<struct disk_perf_t> SK_WMI_DiskStats" (?SK_WMI_DiskStats@@3V?$SK_LazyGlobal@Udisk_perf_t@@@@A)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\core.obj	1		
Error	LNK2001	unresolved external symbol "class SK_LazyGlobal<struct pagefile_perf_t> SK_WMI_PagefileStats" (?SK_WMI_PagefileStats@@3V?$SK_LazyGlobal@Upagefile_perf_t@@@@A)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\core.obj	1		
Error	LNK2001	unresolved external symbol "class SK_LazyGlobal<struct SK_HDR_RenderTargetManager> SK_HDR_RenderTargets_10bpc" (?SK_HDR_RenderTargets_10bpc@@3V?$SK_LazyGlobal@USK_HDR_RenderTargetManager@@@@A)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\d3d11.obj	1		
Error	LNK2001	unresolved external symbol "class SK_LazyGlobal<struct SK_HDR_RenderTargetManager> SK_HDR_RenderTargets_11bpc" (?SK_HDR_RenderTargets_11bpc@@3V?$SK_LazyGlobal@USK_HDR_RenderTargetManager@@@@A)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\d3d11.obj	1		
Error	LNK2001	unresolved external symbol "class SK_LazyGlobal<struct SK_HDR_RenderTargetManager> SK_HDR_RenderTargets_8bpc" (?SK_HDR_RenderTargets_8bpc@@3V?$SK_LazyGlobal@USK_HDR_RenderTargetManager@@@@A)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\d3d11.obj	1		
Error	LNK2001	unresolved external symbol "class SK_LazyGlobal<struct SK_HDR_RenderTargetManager> SK_HDR_UnorderedViews_10bpc" (?SK_HDR_UnorderedViews_10bpc@@3V?$SK_LazyGlobal@USK_HDR_RenderTargetManager@@@@A)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\d3d11.obj	1		
Error	LNK2001	unresolved external symbol "class SK_LazyGlobal<struct SK_HDR_RenderTargetManager> SK_HDR_UnorderedViews_11bpc" (?SK_HDR_UnorderedViews_11bpc@@3V?$SK_LazyGlobal@USK_HDR_RenderTargetManager@@@@A)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\d3d11.obj	1		
Error	LNK2001	unresolved external symbol "class SK_LazyGlobal<struct SK_HDR_RenderTargetManager> SK_HDR_UnorderedViews_8bpc" (?SK_HDR_UnorderedViews_8bpc@@3V?$SK_LazyGlobal@USK_HDR_RenderTargetManager@@@@A)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\d3d11.obj	1		
